ADMITTED-WHY | assets/index.css:731 | [shape] | no verb names its curve; a number is typed here instead of a rung (0.6s)
ADMITTED-WHY | assets/index.css:773 | [shape] | a number is typed here instead of a rung (0.3s)
ADMITTED-WHY | assets/index.css:774 | [shape] | no verb names its curve
ADMITTED-WHY | assets/index.css:798 | [prm] | no verb names its curve; a number is typed here instead of a rung (0.01ms)
ADMITTED-WHY | games/shared/GameControlPanel.vue:1731 | [graded] | a number is typed here instead of a rung (320ms)
ADMITTED-WHY | games/shared/GameControlPanel.vue:1735 | [graded] | a number is typed here instead of a rung (380ms)
ADMITTED-WHY | games/shared/GameControlPanel.vue:1748 | [graded] | a number is typed here instead of a rung (280ms)
ADMITTED-WHY | games/shared/GameControlPanel.vue:1752 | [graded] | a number is typed here instead of a rung (320ms)
ADMITTED-WHY | games/shared/GameControlPanel.vue:1757 | [graded] | a number is typed here instead of a rung (320ms)
ADMITTED-WHY | games/shared/GameControlPanel.vue:1762 | [graded] | a number is typed here instead of a rung (260ms)
ADMITTED-WHY | games/shared/GameControlPanel.vue:2300 | [layout] | --ease-drawOn is a shape curve; a transition names a verb; a number is typed here instead of a rung (200ms)
ADMITTED-WHY | games/shared/GameControlPanel.vue:2468 | [shape] | no verb names its curve; a number is typed here instead of a rung (500ms)
ADMITTED-WHY | games/shared/GameControlPanel.vue:2489 | [shape] | no verb names its curve; a number is typed here instead of a rung (400ms)
ADMITTED-WHY | games/shared/gameCell.css:35 | [elsewhere] | no verb names its curve; a number is typed here instead of a rung (250ms)
ADMITTED-WHY | games/shared/gameCell.css:154 | [elsewhere] | no verb names its curve; a number is typed here instead of a rung (250ms)
ADMITTED-WHY | games/shared/gameCell.css:239 | [elsewhere] | a number is typed here instead of a rung (180ms)
ADMITTED-WHY | games/shared/gameCell.css:257 | [elsewhere] | a number is typed here instead of a rung (180ms)
ADMITTED-WHY | pencil/celestial/DarkModeToggle.vue:793 | [signature] | --ease-standard is a shape curve; a transition names a verb; a number is typed here instead of a rung (100ms)
ADMITTED-WHY | pencil/celestial/DarkModeToggle.vue:799 | [signature] | --ease-standard is a shape curve; a transition names a verb; a number is typed here instead of a rung (300ms)
ADMITTED-WHY | pencil/celestial/DarkModeToggle.vue:814 | [signature] | --ease-accelIn is a shape curve; a transition names a verb; a number is typed here instead of a rung (340ms)
ADMITTED-WHY | pencil/celestial/DarkModeToggle.vue:829 | [signature] | --ease-springPop is a shape curve; a transition names a verb; a number is typed here instead of a rung (800ms)
ADMITTED-WHY | pencil/celestial/DarkModeToggle.vue:841 | [shape] | a number is typed here instead of a rung (120ms)
ADMITTED-WHY | pencil/celestial/DarkModeToggle.vue:862 | [shape] | a number is typed here instead of a rung (1010ms)
ADMITTED-WHY | pencil/celestial/DarkModeToggle.vue:892 | [signature] | no verb names its curve; a number is typed here instead of a rung (150ms); a number is typed here instead of a rung (100ms)
ADMITTED-WHY | pencil/celestial/DarkModeToggle.vue:901 | [signature] | --ease-anticipatePop is a shape curve; a transition names a verb; a number is typed here instead of a rung (150ms); a number is typed here instead of a rung (120ms)
ADMITTED-WHY | pencil/celestial/DarkModeToggle.vue:907 | [signature] | no verb names its curve; a number is typed here instead of a rung (640ms)
ADMITTED-WHY | pencil/celestial/DarkModeToggle.vue:910 | [signature] | no verb names its curve; a number is typed here instead of a rung (720ms)
ADMITTED-WHY | pencil/celestial/DarkModeToggle.vue:995 | [prm] | no verb names its curve; a number is typed here instead of a rung (200ms)
ADMITTED-WHY | pencil/chrome/HandwrittenLogo/HandwrittenLogo.vue:560 | [signature] | --ease-noteWrite is a shape curve; a transition names a verb; a number is typed here instead of a rung (1.2s)
ADMITTED-WHY | pencil/chrome/ScribbleLoader.vue:81 | [loop] | no verb names its curve; a number is typed here instead of a rung (1000ms)
ADMITTED-WHY | pencil/chrome/icons/DiceIcon.vue:113 | [shape] | a number is typed here instead of a rung (500ms)
ADMITTED-WHY | pencil/chrome/icons/DiceIcon.vue:134 | [shape] | a number is typed here instead of a rung (250ms)
ADMITTED-WHY | pencil/chrome/icons/FillForcedIcon.vue:72 | [shape] | a number is typed here instead of a rung (350ms)
ADMITTED-WHY | pencil/chrome/icons/SolveIcon.vue:55 | [shape] | a number is typed here instead of a rung (350ms)
ADMITTED-WHY | pencil/chrome/icons/SolveIcon.vue:70 | [shape] | a number is typed here instead of a rung (500ms)
ADMITTED-WHY | pencil/sheet/AnswerKeyLaminate.vue:272 | [prm] | no verb names its curve; a number is typed here instead of a rung (150ms)
